,prominence,duration,bandwidth,peak_time,peak_frequency,volume
0,288.0399241717571,1.0000000000000009,2.05078125,0.7231172087448563,0.4478783683223124,75.29451226215713
1,10.321465652873174,0.5000000000000004,2.05078125,1.841838206916336,3.987980697539954,8.450711908688708
2,17.186428308278018,1.100000000000001,2.83203125,10.974407245422928,3.451546883235304,34.58606160674419
3,12.689875582871352,0.9000000000000008,2.734375,19.153997566672334,3.352492654550723,31.5130163579552
4,7.7014799571970265,1.100000000000001,2.1484375,5.862253955888531,4.640518115826888,11.985699741986751
5,18.42954729427253,1.0000000000000009,3.3203125,15.881929421478318,3.894036912330084,42.53779358202925
6,22.440442785015815,1.0000000000000009,2.1484375,25.292451220756636,4.75221588303295,22.633281985708155
7,27.52293846461915,1.0000000000000009,4.98046875,29.10737933489868,4.964862990600759,68.64095325966352
8,28.093005400191142,0.9500000000000008,2.5390625,19.018860495942874,6.101582842854584,43.62871065745084
9,7.69322764929804,0.5000000000000004,2.24609375,9.49868389902288,6.165028756338371,6.018533943046645
10,21.25036654271946,1.050000000000001,2.34375,15.782656675574984,6.326632630584582,28.94216228268835
11,12.453210439051414,1.200000000000001,2.734375,27.064303862078283,6.6654167487827225,21.839992097778186
12,14.79713597964605,1.3000000000000012,2.5390625,25.488733634771844,8.175817714898525,25.91341699539932
13,12.60190144518829,0.6000000000000005,3.22265625,4.976707954340542,8.615485706700083,14.533915370706335
14,23.12564657188601,1.050000000000001,2.5390625,16.754297812862447,9.004968069489488,36.609445007278595
15,24.32075731623361,0.5500000000000005,2.734375,29.287114195204445,8.459682564493955,28.85462089238407
16,68.63889764317162,1.150000000000001,5.76171875,13.824266609622004,8.606839691406144,131.2827972802281
17,75.97339657501445,1.250000000000001,5.56640625,1.9681728888055188,8.534609641781204,166.75725899276756
18,113.8820682087167,2.300000000000002,4.296875,9.132896927322147,9.003803320904842,275.8369293006397
19,78.0836629868227,1.4000000000000012,9.1796875,12.664782162312228,8.23142226140309,232.2946815100345
20,9.424952226579554,0.5000000000000004,2.34375,22.333725714282803,12.04211118993203,4.253616772602715
21,55.820105105263394,2.100000000000002,4.19921875,18.518317245896075,8.688636996923568,208.42112438995107
22,27.272891912024473,1.6000000000000014,5.2734375,26.131874337143064,12.827959706774056,76.71123135428111
23,13.673359697125207,0.9500000000000008,2.24609375,2.3447652611568968,14.641285909740331,13.592760382817657
24,25.829623216717984,1.6000000000000014,5.078125,17.152891315236666,12.480272165577185,77.30830932602765
25,40.476327223844606,1.150000000000001,4.39453125,1.0045519182872718,14.335562904302757,112.76935043095573
26,40.30363407163921,1.3000000000000012,4.8828125,8.568328162468198,14.407774661557166,117.85513495755207
27,62.63228790097792,2.200000000000002,5.76171875,19.50022144507668,14.491178730893042,216.3666053329698
28,12.436391586532329,1.6500000000000015,2.9296875,23.765219224419887,14.935744939519704,18.2312530689812
29,20.216043586218408,1.0000000000000009,2.9296875,2.3872707372226607,16.272923448845294,32.36888666362297
30,57.1339403818537,1.050000000000001,5.17578125,13.148998917467065,14.940151989439338,157.17836287166097
31,20.82190326415098,1.3000000000000012,3.7109375,18.268579653119644,22.058787306485552,41.25022167739482
32,15.2654889204431,1.100000000000001,2.34375,21.993835321489946,24.521339010914126,13.65064077945213
33,16.53286844642826,0.5000000000000004,2.1484375,19.58514612441012,26.002777516925246,11.599941115283002
34,23.751021822089715,1.4000000000000012,5.46875,6.871062545277021,25.10732482850791,58.82629454748298
35,16.851759514924908,1.050000000000001,3.515625,8.831909928010283,26.770206668443645,31.930024228375775
36,10.400286893354899,0.8000000000000007,2.5390625,9.847386405702293,27.075941426997357,10.504689234548078
37,11.18672685129265,0.6000000000000005,2.5390625,26.15933685174039,26.468407962539185,14.803744174110228
38,12.547438162757034,0.9500000000000008,2.734375,28.059832641816673,26.92884745027353,22.836601565752545
39,18.590072132210896,0.9000000000000008,2.734375,19.421946199281503,27.01734159008516,14.163308229326555
40,8.846102004696839,1.0000000000000009,2.1484375,8.84548030672998,28.86201169615238,11.959118005143623
41,21.869638601680336,0.8000000000000007,4.8828125,0.8280896998316893,27.135641947364096,49.17660454678122
