,prominence,duration,bandwidth,peak_time,peak_frequency,volume,phase,stage,artifact_time
3074,11.158947590208804,0.7000000000000006,3.80859375,1512.6246240814987,5.504159216344537,23.25710355164014,-1.42302544463127,1.0,False
3075,8.126652590194709,0.9500000000000008,2.1484375,1529.6004046302967,6.744369074024117,17.124452393203743,-2.243030751683799,1.0,False
3076,12.901376844108059,0.9500000000000008,4.1015625,1503.7051598196365,7.168916801224658,33.027578114474636,-1.5968632599149946,2.0,False
3077,26.989000312988914,1.150000000000001,5.078125,1511.5117452795682,6.720908853722851,99.4602948679046,-2.5734497248230763,1.0,False
3078,13.381779789685034,1.0000000000000009,2.83203125,1505.5086489749385,8.690571038712411,20.69435668621111,-1.8784721977754988,2.0,False
3079,42.84486763823082,1.3500000000000012,6.73828125,1507.2912831730296,8.688069645448698,158.6808701648969,-2.456816136174323,2.0,False
3080,1969.8138103237031,1.6000000000000014,4.1015625,1515.6595143225243,1.374472267809911,1396.5313380334583,-2.551590123242945,1.0,False
3081,40.07691028335125,1.200000000000001,5.17578125,1523.9479039203188,10.177004794963159,160.01738356624006,-3.0604395784306537,1.0,False
3082,31.374505254122475,1.3500000000000012,6.34765625,1500.9345979573084,10.102433168714832,113.84591224121185,1.1325812672300546,2.0,False
3083,17.73851152708674,1.100000000000001,4.19921875,1506.1244621127437,10.62955704944281,51.25616100932656,0.4523176713354596,2.0,False
3084,50.28612654221116,1.100000000000001,4.98046875,1509.8765405518677,10.07757686606362,169.8473564583713,0.9536288940038081,2.0,False
3085,100.73735438937098,1.7000000000000015,6.93359375,1516.549792407004,10.275454803921772,344.25853854743946,2.058611394113527,1.0,False
3086,17.32567207262352,1.0000000000000009,3.7109375,1510.9292517561482,10.677874433602355,57.992770881371015,1.0256370611362888,1.0,False
3087,12.121441601841155,1.0000000000000009,4.39453125,1529.5363847296724,10.281654306448262,39.03412375157725,-2.5421979644774892,1.0,False
3088,12.087358616932683,0.9000000000000008,2.9296875,1521.908381566661,11.51947404107649,29.524759826113478,-0.46448738415175267,1.0,False
3089,10.813259858639437,1.250000000000001,2.24609375,1528.490929972824,12.219713366538512,15.859962390576717,-0.9051912978240623,1.0,False
